Participante,Centro,Curso,Temario,Al menos 7h 30',Último tema terminado,Al menos ha visto un 75%,Actividad (#eventos),Numero de videos reproducidos,Numero de respuestas,Tiempo mirando videos,Tiempo siguiendo curso,Hora comienzo curso,Hora ultima actividad
13,C103 - Centro Cívico Francisco Rabal de Casarrubuelos,RETO103,RETOMadrID - Curso de uso básico de ordenador,true,true,true,536,66,49,05:06:10,08:39:32,2025-03-05 12:14:57.789000+01:00 CET Europe/Madrid,2025-03-13 12:03:13.782000+01:00 CET Europe/Madrid
8,"C008 - Coworking Puerta de la Sierra. Cotos de Monterrey, Venturada",RETO008,RETOMadrID - Curso de uso básico de ordenador,true,false,false,336,35,28,04:55:02,08:10:00,2024-12-02 12:34:28.649000+01:00 CET Europe/Madrid,2025-02-14 14:55:26.071000+01:00 CET Europe/Madrid
21,C100 - Rescofoil de Colmenar de Oreja,RETO100,RETOMadrID - Curso de uso básico de ordenador,false,false,false,428,38,30,02:51:27,06:05:53,2025-03-10 15:57:49.218000+01:00 CET Europe/Madrid,2025-03-21 13:07:53.187000+01:00 CET Europe/Madrid
8,C019 - Biblioteca Municipal. Colmenar del Arroyo,RETO019,RETOMadrID - Curso de uso básico de ordenador,false,false,false,179,12,25,00:51:26,04:00:16,2025-02-17 11:56:10.773000+01:00 CET Europe/Madrid,2025-03-24 13:04:44.747000+01:00 CET Europe/Madrid
7,C014 - Centro de Mayores. La Cabrera,RETO014,RETOMadrID - Curso de uso básico de ordenador,false,true,true,420,68,61,04:20:42,05:47:36,2025-02-11 11:44:59.495000+01:00 CET Europe/Madrid,2025-03-03 11:26:14.347000+01:00 CET Europe/Madrid
prueba1,C079 - Casa de Cultura Valmores en Nuevo Baztán,RETO079,RETOMadrID - Curso de uso básico de ordenador,false,false,false,88,1,9,00:09:17,01:20:14,2024-11-04 16:34:23.481000+01:00 CET Europe/Madrid,2024-12-18 13:21:37.131000+01:00 CET Europe/Madrid
28,C091 - Centro de Mayores Antonio Machado de Humanes de Madrid,RETO091,RETOMadrID - Curso de uso básico de ordenador,true,true,true,612,68,71,05:42:14,09:01:17,2025-01-30 18:27:19.762000+01:00 CET Europe/Madrid,2025-03-14 09:51:38.010000+01:00 CET Europe/Madrid
4,C000 - Escuela Técnica de Ingenieros Informáticos (UPM) - Almacén,RETO000,RETOMadrID - Curso de uso básico de ordenador,false,false,false,145,1,18,00:00:07,02:33:59,2024-10-17 15:20:25.927000+02:00 CEST Europe/Madrid,2024-10-18 09:36:25.066000+02:00 CEST Europe/Madrid
3,C052 - Biblioteca Municipal de Miraflores de la Sierra,RETO052,RETOMadrID - Curso de uso básico de ordenador,true,false,true,906,66,46,06:46:22,10:25:23,2024-11-13 17:56:56.722000+01:00 CET Europe/Madrid,2024-12-04 17:48:47.138000+01:00 CET Europe/Madrid
12,"C057 - Centro de Mayores ""Virgen de la Nueva"" de San Martín de Valdeiglesias",RETO057,RETOMadrID - Curso de uso básico de ordenador,true,false,true,577,66,71,07:24:52,11:27:02,2024-09-27 12:15:09.400000+02:00 CEST Europe/Madrid,2024-10-16 12:38:13.975000+02:00 CEST Europe/Madrid
